hospital_id,Hospital_address,physician_id,Speciality,INSURANCE_provider_name,insurance_provider_id,good_bad_data
HSID00128001,"5678 Oak St, New York, NY 10001",PHY05050,neurologist,Medicare,PID5132,bad
HSID00128002,"123 Main St, Anytown, USA",PHY05051,neurologist,Aetna,PID5112,bad
HSID00128003,"222 Pine St, Anytown, USA",PHY05052,endocrinologist,Aetna,PID5112,bad
HSID00128004,"5678 Pine St, New York, NY 10001",PHY05053,oncologist,Cigna,PID5122,bad
HSID00128005,"1234 Elm St, Los Angeles, CA 90001",PHY05054,endocrinologist,Aetna,PID5112,bad
HSID00128006,"321 Elm St, San Francisco CA 94109",PHY05055,endocrinologist,Aetna,PID5112,bad
HSID00128007,"5678 Maple Ave, Anytown, USA",PHY05056,neurologist,Medicare,PID5132,bad
HSID00128008,"7890 Birch St, Houston, TX 77001",PHY05057,oncologist,Cigna,PID5122,bad
HSID00128009,"246 Birch St, Houston, TX 77002, USA",PHY05058,cardiologist,Bluecross,PID5142,bad
HSID00128010,"789 Elm St, Newtown USA",PHY05059,oncologist,Cigna,PID5122,bad
HSID00128011,"123 Main St, Anytown, USA",PHY05060,cardiologist,Cigna,PID5122,bad
HSID00128012,"101 Maple Ave, Anytown USA 45678",PHY05061,endocrinologist,Cigna,PID5122,bad
HSID00128013,"3456 Maple St, Chicago, IL 60601",PHY05062,uralogist,Medicare,PID5132,bad
HSID00128014,"3456 Maple St, Chicago, IL 60601",PHY05063,cardiologist,Cigna,PID5122,bad
HSID00128015,"4567 Maple St, Miami, FL 33101",PHY05064,oncologist,Aetna,PID5112,bad
HSID00128016,"456 Pine St, New York, NY 10012",PHY05065,oncologist,Bluecross,PID5142,bad
HSID00128017,"456 Oak St, Otherville USA",PHY05066,neurologist,Bluecross,PID5142,bad
HSID00128018,"3456 Oak St, Threetown, USA",PHY05067,oncologist,Bluecross,PID5142,bad
HSID00128019,"3456 Pine St, Anytown, USA",PHY05068,neurologist,Aetna,PID5112,bad
HSID00128020,"5678 Oak St, Los Angeles, CA 90001",PHY05069,oncologist,Bluecross,PID5142,bad
HSID00128021,"9012 Pine St, New York, NY 10001",PHY05070,uralogist,Medicare,PID5132,bad
HSID00128022,"789 Oak St, Los Angeles, CA 90013",PHY05071,uralogist,Cigna,PID5122,bad
HSID00128023,"9876 Maple St, Chicago, IL 60601",PHY05072,oncologist,BlueCross BlueShield,PID5142,bad
HSID00128024,"4567 Cedar Ln, Anytown, USA",PHY05073,uralogist,Bluecross,PID5142,bad
HSID00128025,"789 Oak St, Newtown, USA",PHY05074,uralogist,Medicare,PID5132,bad
HSID00128026,"4567 Cedar Ln, Anytown, USA",PHY05075,neurologist,Bluecross,PID5142,bad
HSID00128027,"3210 Pine St, Seattle, WA 98101",PHY05076,oncologist,BlueCross BlueShield,PID5142,bad
HSID00128028,"7890 Birch St, Atlanta, GA 30303",PHY05077,uralogist,UnitedHealthcare,PID5192,bad
HSID00128029,"7890 Pine St, New York NY 10001",PHY05078,cardiologist,Medicare,PID5132,bad
HSID00128030,"456 Elm St, Los Angeles, CA 90001",PHY05079,neurologist,Medicare,PID5132,bad
HSID00128031,"3210 Cedar St, Houston, TX 77006",PHY05080,cardiologist,Cigna,PID5122,bad
HSID00128032,"123 Main St, New York, NY 10001",PHY05081,oncologist,Cigna,PID5122,bad
HSID00128033,"123 Main St, Anytown, USA",PHY05082,oncologist,Aetna,PID5112,bad
HSID00128034,"246 Birch St, Houston, TX 77002, USA",PHY05083,endocrinologist,Medicare,PID5132,bad
HSID00128035,"1234 Pine St, Othernewtown, USA",PHY05084,neurologist,Bluecross,PID5142,bad
HSID00128036,"4567 Maple Ave, Los Angeles CA 90001",PHY05085,cardiologist,Medicare,PID5132,bad
HSID00128037,"9876 Maple Rd, Seattle, WA 98101",PHY05086,endocrinologist,Cigna,PID5122,bad
HSID00128038,"5678 Oak Ave, New York, NY 10001",PHY05087,endocrinologist,Unitedhealthcare,PID5192,bad
HSID00128039,"123 Main St, Anytown USA 12345",PHY05088,uralogist,Cigna,PID5122,bad
HSID00128040,"789 Oak St, Los Angeles, CA 90013",PHY05089,neurologist,Cigna,PID5122,bad
HSID00128041,"9876 Elm St, Miami, FL",PHY05090,endocrinologist,Bluecross,PID5142,bad
HSID00128042,"1234 Elm St, Los Angeles, CA 90001",PHY05091,uralogist,Aetna,PID5112,bad
HSID00128043,"4567 Maple St, Miami, FL 33101",PHY05092,neurologist,Bluecross,PID5142,bad
HSID00128044,"1234 Elm St, Los Angeles, CA 90001",PHY05093,uralogist,Bluecross,PID5142,bad
HSID00128045,"4567 Oak Ave, San Francisco, CA 94110",PHY05094,uralogist,Medicare,PID5132,bad
HSID00128046,"135 Elm St, Boston, MA 02115",PHY05095,uralogist,Bluecross,PID5142,bad
HSID00128047,"1234 Main St, San Francisco, CA 94114",PHY05096,cardiologist,Bluecross,PID5142,bad
HSID00128048,"456 Oak St, Otherville USA",PHY05097,uralogist,Bluecross,PID5142,bad
HSID00128049,"9012 Pine St, Chicago, IL 60601",PHY05098,cardiologist,Aetna,PID5112,bad
HSID00128050,"123 Main St, New York, NY 10001",PHY05099,neurologist,Unitedhealthcare,PID5192,bad
HSID00128051,"1357 Main St, New York, NY",PHY05100,cardiologist,Unitedhealthcare,PID5192,bad
HSID00128052,"123 Oak St, Chicago, IL 60601, USA",PHY05101,neurologist,Aetna,PID5112,bad
HSID00128053,"123 Maple St, San Francisco, CA 94110",PHY05102,neurologist,Cigna,PID5122,bad
HSID00128054,"7890 Maple St, Fourtown, USA",PHY05103,uralogist,Aetna,PID5112,bad
HSID00128055,"789 Oak St, Newtown, USA",PHY05104,cardiologist,Cigna,PID5122,bad
HSID00128056,"321 Elm St, San Francisco CA 94109",PHY05105,neurologist,Aetna,PID5112,bad
HSID00128057,"5678 Elm St, Denver, CO 80202",PHY05106,uralogist,Cigna,PID5122,bad
HSID00128058,"5678 Oak Ave, New York, NY 10001",PHY05107,uralogist,Cigna,PID5122,bad
HSID00128059,"246 Walnut St, Chicago, IL 60601",PHY05108,neurologist,Aetna,PID5112,bad
HSID00128060,"123 Main St, Anytown USA 12345",PHY05109,cardiologist,Bluecross,PID5142,bad
HSID00128061,"456 Oak St, Anytown USA 23456",PHY05110,endocrinologist,Cigna,PID5122,bad
HSID00128062,"5678 Maple Ave, Chicago, IL",PHY05111,endocrinologist,Aetna,PID5112,bad
HSID00128063,"5678 Elm St, Anytown, USA",PHY05112,uralogist,Cigna,PID5122,bad
HSID00128064,"789 Oak St, Chicago, IL 60601",PHY05113,endocrinologist,Unitedhealthcare,PID5192,bad
